hour,total_profit,trades,win_rate
0,0.0,0,0.0
1,0.0,0,0.0
2,0.0,0,0.0
3,4923695.478337227,8331,0.1005881646861121
4,4582824.424789091,2328,0.5597079037800687
5,3404457.416560988,3710,0.41401617250673856
6,1275703.7521957695,2515,0.8934393638170974
7,1782397.7012675055,2583,0.7603561749903214
8,1057029.0044545399,2550,0.8898039215686274
9,2409330.92634922,1709,0.31597425394967815
10,3336906.145702315,2372,0.2677065767284992
11,568780.7007902961,2058,0.5490767735665695
12,2920361.7369915163,1748,0.6321510297482837
13,4595580.269374738,2037,0.6273932253313697
14,3905588.444196826,2648,0.5940332326283988
15,792870.9324932529,2133,0.13830285982184717
16,0.0,0,0.0
17,0.0,0,0.0
18,0.0,0,0.0
19,2966197.148832147,3326,0.8701142513529766
20,2868304.014421815,3963,0.8738329548321978
21,4708730.312175,1864,0.7687768240343348
22,0.0,0,0.0
23,0.0,0,0.0
